based_in:,member for:,company_name:,rating:,reports:
"Baldock, Hertfordshire",1 year,AE Gardens Paving and Landscaping Experts,9.96,26
Nottingham,1 year,AE Property Services,9.83,24
"Hemel Hempstead, Hertfordshire",3 years,AEB Plastering & Tiling,9.84,52
"Eastleigh, Hampshire",5 years,AEC Wood Flooring,9.91,175
"Bath, Somerset",Less than a year,Aecia Interiors,9.82,7
"Chatham, Kent",1 year,AEG Plastering & Refurbishments,9.88,74
"Sandhurst, Berkshire",2 years,AEG Windows,9.84,38
"Southampton, Hampshire",6 years,Aegis Alarms Limited,9.92,966
"Worcester Park, Surrey",Less than a year,AEI Electrical,9.87,53
"Portsmouth, Hampshire",Less than a year,AEI Scaffolding Ltd,9.98,22
"Stockton-on-Tees, Cleveland",Less than a year,AEJ Paving & Landscaping,10,10
"Bognor Regis, West Sussex",4 years,AEL Home Improvements,9.92,69
"Aylesbury, Buckinghamshire",3 years,Aerial - Tech Solutions Ltd,9.96,316
"Bognor Regis, West Sussex",11 years,Aerial & Satellite Connections,9.9,150
London,3 years,Aerial & Satellite Installations Ltd (ASI Ltd),9.96,54
"Farnham, Surrey",7 years,Aerial & Satellite Services,9.96,363
"Melton Mowbray, Leicestershire",Less than a year,Aerial and Security Solutions Ltd,9.85,10
"Esher, Surrey",4 years,Aerial Company,9.91,207
"Bognor Regis, West Sussex",14 years,Aerial Dave's Aerial Satellite Services,9.92,696
"Glasgow, East Renfrewshire",Less than a year,Aerial Express,9.09,6
"Southampton, Hampshire",8 years,Aerial Fix,9.85,675
"High Wycombe, Buckinghamshire",1 year,Aerial Fix,9.94,192
"Leicester, Leicestershire",1 year,Aerial Installations (Leicester),9.93,87
"Southampton, Hampshire",7 years,Aerial Installations Ltd,9.91,158
"Nr Chichester, West Sussex",14 years,Aerial Man,9.91,431
"Havant, Hampshire",4 years,Aerial Services,9.97,344
"Kettering, Northamptonshire",6 years,Aerial Services. TV Ltd,9.86,1046
Ivybridge,3 years,Aerial Solutions,9.93,141
"Fareham, Hampshire",7 years,Aerial Sparks,9.96,1534
"Sevenoaks, Kent",6 years,Aerial Tec (London & SE) Ltd,9.77,346
London,8 years,Aerial Tellycomms Ltd,9.8,294
"Woking, Surrey",3 years,Aerial View,9.94,242
"Bournemouth, Dorset",5 years,Aerial Wizard,9.98,474
"Camberley, Surrey",8 years,Aerials 4 U,9.88,868
"Brighton, East Sussex",9 years,Aerials and More,9.9,437
"Tunbridge Wells, Kent",3 years,Aerials by Clarkes,9.88,102
"Romford, Essex",1 year,Aerials Direct,9.94,41
Worcester Park,8 years,Aerials Satellites & Freeview (UK) Ltd,9.8,559
"Bournemouth, Dorset",5 years,Aerialwise (Dorset) Ltd,9.97,300
"Ipswich, Suffolk",1 year,AES National Ltd,9.88,8
"Cheam, Surrey",5 years,AES Security,9.78,209
Croydon,2 years,AF Roofing Specialists,9.93,38
"Guildford, Surrey",5 years,AFB Builders,9.83,64
"Hounslow, Middlesex",Less than a year,Affe's Decor Ltd,9.51,20
"Maidstone, Kent",Less than a year,Affinity Building Services Ltd,9.54,7
"Stockport, Greater Manchester",Less than a year,Affinity Glass Ltd,9.73,31
"Glasgow, South Lanarkshire",Less than a year,Affinity Security Systems Ltd,9.94,4
"Farnborough, Hampshire",3 years,Affordable Builders,9.88,35
"Horley, Surrey",Less than a year,Affordable Construction Ltd,9.1,5
"Epsom, Surrey",8 years,Affordable Electrics and Repairs Ltd (Epsom & Ewell),9.89,595
London,7 years,Affordable Electrics and Repairs Ltd (Wimbledon & Raynes Park),9.88,430
"Leicester, Leicestershire",2 years,Affordable Fencing & Driveways,9.9,63
"Worthing, West Sussex",2 years,Affordable Flooring,9.98,86
"Horley, Surrey",6 years,Affordable Granite,9.78,576
"Stoke-on-Trent, Staffordshire",3 years,Affordable Heating and Installations Ltd,9.96,179
"Southampton, Hampshire",7 years,Affordable Home Improvements,9.88,97
"Bexleyheath, Greater London",4 years,Affordable Locksmiths 24-7,9.96,617
"Redhill, Surrey",1 year,Affordable Locksmiths Ltd,9.81,23
"Bournemouth, Dorset",6 years,Affordable Painter,9.85,206
Fordingbridge,4 years,Affordable Plastering,9.84,187
"Reigate, Surrey",3 years,Affordable Plastering Services,9.96,71
"Basingstoke, Hampshire",8 years,Affordable Plumbing & Drainage,9.95,1105
"Pevensey, East Sussex",7 years,Affordable Plumbing & Heating Services,9.92,422
"Bilston, West Midlands",4 years,Affordable Plumbing and Property Maintenance,9.84,170
"Bewdley, Worcestershire",2 years,Affordable Plumbing Solutions,9.98,87
"Worthing, West Sussex",1 year,Affordable Property Repairs,9.58,30
"Lancing, West Sussex",10 years,Affordable Roofing,9.88,383
"Knaresborough, North Yorkshire",Less than a year,Affordable Roofing,10,19
"Horley, Surrey",Less than a year,Affordable Roofing Services Limited,9.96,13
"Worthing, West Sussex",7 years,Affordable Roofs,9.44,44
Sutton,4 years,Affordable Rubbish Clearance,9.91,282
"Dudley, West Midlands",3 years,Affordable Windows Doors And Conservatories,9.83,87
York,Less than a year,Afford-A-Lock,9.93,64
"Carshalton, Surrey",3 years,Afforde Doors,9.87,117
"Preston, Lancashire",Less than a year,AFM Plumbing & Heating Ltd,9.77,12
"Slough, Berkshire",3 years,AFS Affordable Fencing & Garden Services,9.96,68
"Eastbourne, East Sussex",Less than a year,AFS Drainage,10,18
"Burgess Hill, West Sussex",Less than a year,Aftercare Double Glazing Repairs Ltd,9.91,49
"Birmingham, West Midlands",Less than a year,Afterglow Plumbing and Heating Limited,9.97,38
"Waltham Cross, Hertfordshire",1 year,AG Bathroom Installers,9.71,13
"Maidstone, Kent",4 years,AG Driveways Ltd,9.97,56
"Basingstoke, Hampshire",4 years,AG Electrical Services,9.92,45
"Hook, Hampshire",4 years,AG House Clearance & Removals,9.87,113
"Battle, East Sussex",1 year,AG Landscapes & Gardens,9.88,37
"Goring By Sea, West Sussex",13 years,AG McBride,9.77,127
"London, Greater London",4 years,AG Oakes Tiling,9.82,66
"Basingstoke, Hampshire",7 years,AG Sefton Plastering & Damp Proofing,9.86,241
Croydon,Less than a year,Agate Gardening & Landscaping Services,9.84,11
"Ferndown, Dorset",4 years,Agate Group Ltd,9.92,100
"Epsom, Surrey",Less than a year,AGB Electrical Services,9.95,26
"Farnborough, Hampshire",5 years,AGB Gardens,9.96,97
Sutton,2 years,AGB Kitchens & Bathrooms Ltd,9.9,23
"Egham, Surrey",4 years,AGB Scaffolding Services Ltd,9.7,14
"Lee-on-the-Solent, Hampshire",3 years,AGC Kitchens & Bathrooms,9.88,71
"Pulborough, West Sussex",1 year,AGD Construction Services Ltd,9.96,102
"Guildford, Surrey",9 years,AGD Surrey Ltd,9.85,321
"Sidcup, Kent",1 year,AGEM Flooring,9.83,29
"Yateley, Hampshire",7 years,AGG Garage Doors Ltd,9.92,388
"Andover, Hampshire",6 years,Agile Plumbing Limited,9.86,478
"Catterick Garrison, North Yorkshire",1 year,AGM Plastering,9.74,39
"Shoreham-by-Sea, West Sussex",12 years,AGR Scaffolding Limited,9.72,144
Worcester Park,3 years,AGS APPLIANCES (COOKER EXPERT),9.91,106
"Portsmouth, Hampshire",11 years,AGS Ltd.,9.89,3734
"Wigan, Merseyside",1 year,AGW Electrical Services (NW) Ltd,9.83,60
"Guildford, Surrey",8 years,AGW Roofing & Construction Ltd,9.86,163
"St. Leonards-on-Sea, East Sussex",4 years,AH & More Interior Exterior Specialists,9.79,42
"Staines-upon-Thames, Middlesex",3 years,AH Painting And Decorating Ltd,9.89,252
London,1 year,AH Plumbers Ltd,9.89,31
"East Grinstead, West Sussex",Less than a year,AH Plumbing Services and Bathrooms Installations,9.77,14
"Worthing, West Sussex",4 years,Ahead Loft Ladders,9.92,240
"Portsmouth, Hampshire",Less than a year,Ahead Loft Ladders (Portsmouth),9.91,8
"Dawlish, Devon",2 years,AHG Plumbing & Heating Ltd,9.83,39
"Horley, Surrey",2 years,AHK Electrical Services,9.96,50
Worcester Park,3 years,AHS Construction Design Ltd,9.62,56
"Stowmarket, Suffolk",Less than a year,AI Tree Services Limited,9.92,16
"Basingstoke, Hampshire",Less than a year,AIB Kitchens & Bathrooms,9.93,18
"London, Greater London",Less than a year,AIFOS Ltd,10,1
"Nottingham, Nottinghamshire",3 years,Ainsley Asphalt,9.87,78
"Nottingham, Nottinghamshire",2 years,Ainsley Fencing,9.87,43
"Sutton, Surrey",1 year,Aintree Property Services Ltd,9.63,94
"Whitley Bay, Tyne And Wear",2 years,Airband NE Ltd,9.88,111
"Peterborough, Cambridgeshire",3 years,Airborne Aerials,9.96,113
"Brighton, East Sussex",6 years,Aird & Co Building and Plastering Contractors,9.78,49
"Cardigan, Sir Ceredigion",Less than a year,Airless Plastering Ltd,9.78,8
"Petworth, West Sussex",7 years,Airo Scaffolding Limited,9.86,37
"Colchester, Essex",1 year,Airtec,8.65,10
"East Grinstead, West Sussex",1 year,Airtech Air Conditioning Services Limited,9.83,74
"Altrincham, Greater Manchester",Less than a year,Airtek Air Conditioning & Tech Services,10,6
"Altrincham, Cheshire",Less than a year,Airtek Building Services,9.96,6
"Hailsham, East Sussex",4 years,Airtight Security Systems Limited,9.85,170
"Coventry, West Midlands",4 years,Airwave Aerials,9.84,105
"Salisbury, Wiltshire",3 years,Airwaves,9.9,256
"Northampton, Northamptonshire",Less than a year,Aitken Electrical Contractors Ltd,9.81,4
"Cranbrook, Kent",Less than a year,AJ & C Electrical Contractors Ltd,9.95,5
"Eastleigh, Hampshire",Less than a year,AJ Bathrooms & Kitchens,9.58,9
Harrow,1 year,AJ Bespoke Furniture,9.96,13
"Chessington, Greater London",3 years,AJ Brickwork,9.78,52
"Portland, Dorset",Less than a year,AJ Building & Groundworks,9.1,18
"Coulsdon, Surrey",4 years,AJ Building Group,9.9,145
"Stockport, Cheshire",3 years,AJ Decorators,9.91,97
"Maidstone, Kent",3 years,AJ Electrical,9.9,156
"High Wycombe, Buckinghamshire",2 years,AJ Electrics,9.95,34
"Southampton, Hampshire",1 year,AJ Flat Roofs and Home Improvements,9.94,39
"Luton, Bedfordshire",1 year,AJ Flooring Services Ltd,9.81,24
"Southampton, Hampshire",Less than a year,AJ Landscapes,9.9,30
"Hounslow, London",4 years,AJ Lynch Building & Refurbishment,9.91,31
"Havant, Hampshire",3 years,AJ May Construction,9.86,102
"Horley, Surrey",3 years,AJ Morley Flooring,9.96,164
"Orpington, Kent",1 year,AJ Pell Carpentry Ltd,10,15
"Hailsham, East Sussex",1 year,AJ Puttick Plumbing And Heating Solutions,9.69,25
"Coventry, West Midlands",Less than a year,AJ Scott Plumbing & Heating,9.8,5
"Brighton, West Sussex",3 years,AJ South Carpentry,9.89,111
"Wimborne, Dorset",8 years,AJ Vincent Loft Conversions,9.87,64
"Reading, Berkshire",Less than a year,AJA Maintenance and Services Ltd,9.78,25
"Ashford, Kent",4 years,AJB Construction,9.93,87
Romford,Less than a year,AJB Landscapes,9.84,17
"Tadworth, Surrey",2 years,AJB Plumbing Services,9.93,78
"Swindon, Wiltshire",Less than a year,AJC Prestige Plastering,9.88,13
"Thatcham, Berkshire",5 years,AJC Services,9.86,103
"Horley, Surrey",6 years,AJD Services,9.87,130
"Godalming, Surrey",Less than a year,AJE Decorating,9.73,13
"Rotherham, South Yorkshire",1 year,AJF Builders,9.67,9
"Camberley, Surrey",Less than a year,AJG Landscaping,9.89,33
"Maidenhead, Berkshire",Less than a year,AJH Fencing and Groundworks,9.79,36
"Basildon, Essex",Less than a year,AJI Fencing Ltd,9.75,5
"Liverpool, Merseyside",Less than a year,AJK Driveways & Patio Design,9.92,12
London,1 year,AJL Domestic Appliances Ltd,9.88,6
"Harrow, Greater London",5 years,AJL Roofing Contractors Ltd,9.74,44
"Halesowen, West Midlands",2 years,AJM,9.94,116
"Bournemouth, Dorset",1 year,AJM Bespoke Bathrooms,9.66,38
"Bognor Regis, West Sussex",2 years,AJM Contractors,9.75,23
"Epsom, Surrey",2 years,AJM Electrical Contractors,9.96,73
"Ashford, Kent",1 year,AJM Electrical Ltd,9.8,15
"Birmingham, West Midlands",3 years,AJM Electrical Services (Birmingham) Ltd,9.8,133
"Somerton, Somerset",3 years,AJM Electrical Services (SW) Ltd,9.94,78
"Morden, Surrey",Less than a year,AJM Plastering,9.78,8
"Middlesbrough, North Yorkshire",3 years,AJM Services,9.84,48
"St Leonards On Sea, East Sussex",3 years,AJN Plumbing & Heating Ltd,9.94,455
"Lymington, Hampshire",3 years,AJP Services,9.89,64
Surbiton,3 years,AJR Plumbing & Heating,9.95,84
"Bourne, Lincolnshire",Less than a year,AJ's Glass & Glazing,10,13
"Manchester, Greater Manchester",Less than a year,AJS Painting and Decorating,9.95,31
"Birmingham, West Midlands",1 year,"AJS Plumbing, Heating & Gas",9.73,23
"Christchurch, Dorset",Less than a year,AJ's Tree Fellas,9.92,64
"Rotherham, South Yorkshire",1 year,AJS Yorkshire Ltd,9.79,25
"Tadley, Hampshire",1 year,AJT Custom Homes,9.88,23
"Manchester, Greater Manchester",Less than a year,AJT Elec Ltd,9.94,20
"Chertsey, Surrey",8 years,AJW Contractors (Surrey) Limited,9.59,92
"Portsmouth, Hampshire",1 year,AJW Landscaping Services,9.95,44
"Pulborough, West Sussex",3 years,AJW Roofing,9.75,60
"Harrogate, North Yorkshire",Less than a year,AJWD Property Services,9.85,30
"Birmingham, West Midlands",2 years,AK @ Construction & Maintenance Ltd,9.63,48
"Potters Bar, Hertfordshire",Less than a year,AK Builders London Ltd,9.57,7
"Maidenhead, Berkshire",Less than a year,AK Building and Maintenance,9.96,6
Hampton,6 years,AK Electrical,9.87,132
"Stourbridge, West Midlands",1 year,AK Electrical,9.81,22
"Dagenham, Essex",Less than a year,AK Essex Ltd,9.92,12
"Kingston Upon Thames, Surrey",7 years,AK Fencing & Landscaping,9.83,36
"Runcorn, Cheshire",Less than a year,AK Flooring,9.89,11
"Godalming, Surrey",Less than a year,AK Local Plastering,9.94,16
"Wednesbury, West Midlands",Less than a year,AK Plastering,9.89,25
"Bristol, Gloucestershire",1 year,"AK Plumbing, Heating & Electrical Services Limited",9.8,16
"Birmingham, West Midlands",4 years,AK Properties,9.9,61
"Lyndhurst, Hampshire",1 year,AK Property Maintenance,9.93,26
"Brighton, East Sussex",Less than a year,AK Property Maintenance,9.86,27
"Whitstable, Kent",5 years,AK Property Services (UK) Ltd,9.8,105
"Guildford, Surrey",6 years,AK Roofing & Guttering Ltd,9.69,512
"Swadlincote, Derbyshire",Less than a year,AKA Mechanical Ltd,9.61,7
"Crawley, West Sussex",Less than a year,Akehurst Electrical Services,9.96,12
"Havant, Hampshire",7 years,AKG Fencing Services Ltd,9.93,366
"North Shields, Tyne & Wear",3 years,AKL Home Joinery,9.79,114
"Seaham, County Durham",Less than a year,Aknon Building & Roofing,9.86,92
"Gosport, Hampshire",4 years,AKPS Electrical,9.93,48
"Rochester, Kent",Less than a year,AKR Heating & Plumbing,9.98,25
"Littlehampton, West Sussex",1 year,"AKT Groundworks, Landscaping, Garden Design & Services",9.8,32
"Bournemouth, Dorset",8 years,AKT Roofing Ltd,9.84,170
"Falmouth, Cornwall",1 year,Akumi Plumbing & Heating,9.9,27
"London, Greater London",Less than a year,Akwaste Services,9.85,5
"Luton, Bedfordshire",Less than a year,AL Driveways & Garden Design,9.47,8
"Worthing, West Sussex",Less than a year,AL Electrical Ltd,9.94,47
"Newcastle upon Tyne, Tyne and Wear",2 years,AL Plastering Services,9.92,33
"Bournemouth, Dorset",Less than a year,Aladdin Carpet Cleaning,9.9,20
"Reading, Berkshire",2 years,Aladdin Decor,9.76,35
London,2 years,Al-Amin Electrical Contractor,9.8,91
"Southampton, Hampshire",4 years,Alan And Deans Roofing Services,9.99,126
"Billingshurst, West Sussex",4 years,Alan Boam Decorating Services,9.98,167
"Fareham, Hampshire",6 years,Alan Brind Tree Services,9.84,227
"Consett, Durham",2 years,Alan Crawley's Plastering & Dampproofing,9.8,90
"Kingston Upon Thames, Surrey",5 years,Alan Farnham Carpet Fitting Specialist,9.92,142
"Fareham, Hampshire",7 years,Alan Fletcher Home Maintenance & Plastering,9.91,155
"Blackpool, Lancashire",3 years,Alan Haigh,9.86,94
"Cramlington, Northumberland",Less than a year,Alan Hall Plumbing Ltd,9.72,9
"Poole, Dorset",2 years,Alan Harris Plumbing & Heating Ltd,9.94,220
"Sunderland, Tyne and Wear",2 years,Alan Horn Property Services,9.69,52
"South Ockendon, Essex",Less than a year,Alan J S Electrics,10,18
"Trowbridge, Wiltshire",1 year,Alan Joy Windows Ltd,9.84,153
"West Ewell, Surrey",15 years,Alan Lilley,9.69,97
"Leven, Fife",Less than a year,Alan Moreland Brickwork,9.75,8
"Saxmundham, Suffolk",3 years,Alan Norris Property Services,9.87,82
"Worthing, West Sussex",4 years,Alan Pacy Builder,9.89,103
"Glasgow, Lanarkshire",2 years,Alan Reilly Heating & Plumbing,9.9,100
"Alloa, Clackmannanshire",Less than a year,Alan Robertson Carpets & Flooring,0,1
"Sittingbourne, Kent",1 year,Alan Sevenoaks Painting & Decorating & Building Works,9.93,38
"Frome, Somerset",1 year,Alan Smith Plumbing,9.91,60
"Newcastle upon Tyne, Tyne and Wear",2 years,Alan Thompson Painting & Decorators,9.83,36
"Trimdon Station, Durham",3 years,Alan Tinkler Joinery,9.92,60
"London, Greater London",Less than a year,Alan Underdown Painter and Decorator,9.94,24
"Worksop, Derbyshire",2 years,Alan Unwin Horticultural Services,9.68,10
Rainham,3 years,Alan Williams Decorating Services,9.93,121
"Basildon, Essex",5 years,Alans Aerials,10,118
"Smethwick, West Midlands",3 years,Alans Home Maintenance,9.89,158
"Newport Pagnell, Buckinghamshire",1 year,Alans Kitchens and Bathrooms,9.82,87
"Bolton, Greater Manchester",4 years,Alan's Locksmiths Limited,9.99,256
Sutton,12 years,Alaskan Windows Ltd,9.83,1293
Ilford,Less than a year,ALB B&G Builders,8.94,8
"Borehamwood, Hertfordshire",Less than a year,ALB Construction Ltd,9.47,8
"Eastleigh, Hampshire",7 years,ALB Electrical Limited,9.83,176
"London, Greater London",Less than a year,ALB Plumbing & Handyman,9.72,20
"Enfield, Middlesex",2 years,Alba Building Service,9.81,27
"Horsham, West Sussex",7 years,Alba Plumbing,9.87,569
Stirling,1 year,Alba Roofing,9.63,10
"St. Albans, Hertfordshire",3 years,Alban City Plumbing,9.95,226
Worcester Park,Less than a year,ALBANY PARK ELECTRICAL,10,37
"Waterlooville, Hampshire",9 years,Albany Plumbing & Heating,9.94,89
"Leatherhead, Surrey",8 years,Albany Roofing & Guttering,9.86,291
"Croydon, Surrey",Less than a year,Albany Scaffolding Ltd,10,11
"St. Albans, Hertfordshire",3 years,Albany Tree Care Ltd,9.96,74
"Kilmarnock, East Ayrshire",1 year,Albar Aerials,9.75,45
"Caterham, Surrey",1 year,Albatross Heating Ltd,9.92,58
"Lancing, West Sussex",2 years,Albec Roofing,9.95,89
"London, Greater London",4 years,ALBECO Construction Ltd,9.89,134
"Crewkerne, Somerset",Less than a year,Alberny Restorations Ltd,9.4,5
"West Ewell, Surrey",7 years,Albero Carpenters & Joiners,9.97,104
"Ashford, Middlesex",Less than a year,Albertiles,10,29
"Manchester, Greater Manchester",Less than a year,Albion & Co,9.78,8
"Margate, Kent",Less than a year,Albion Fencing  & Construction Kent Ltd,9.87,15
"Brighton, East Sussex",5 years,Albion Glazing Ltd,9.91,81
"Offham, East Sussex",9 years,Albion Lofts Ltd,9.53,56
Croydon,9 years,Albion Windows & Conservatories Ltd,9.5,200
"Kingston upon Thames, Greater London",4 years,Albo Blinds,9.93,162
"Tonbridge, Kent",7 years,Albourne Roofing,9.78,90
"London, Greater London",Less than a year,Albra Property Maintenance,9.83,14
"Redhill, Surrey",2 years,Alclear Pest Control,9.96,418
"Bolton, Greater Manchester",4 years,Alco Roofing Ltd,9.88,135
"Tunbridge Wells, Kent",1 year,Alcon Property Services,9.95,14
"Maidstone, Kent",Less than a year,Alcorn Glazing Ltd,9.9,18
"Carshalton, Greater London",5 years,Alcourt Landscapes,9.85,145
"Southwold, Suffolk",Less than a year,Alcro Ltd,9.85,5
"London, Greater London",Less than a year,ALD Construction & Landscaping Ltd,9.8,14
"Liverpool, Merseyside",2 years,Aldcroft Alarms,9.98,108
"Poulton-le-Fylde, Lancashire",4 years,Aldec Decorators Ltd,9.52,21
"Barnet, Hertfordshire",Less than a year,Alderman Property Services,9.65,5
"Shoreham-by-Sea, West Sussex",8 years,Aldersons,9.92,76
"Woking, Surrey",2 years,Alderton Property Maintenance,9.85,30
"Sunbury-on-Thames, Surrey",7 years,Aldridge & Sons Roofing Ltd,9.85,308
"Bognor Regis, West Sussex",10 years,Aldwick Fencing,9.85,308
"Bognor Regis, West Sussex",Less than a year,Aldwick Floor Sanding,9.91,11
"Bognor Regis, West Sussex",10 years,"Aldwick Roofing, GRP & Plastics",9.88,111
"Mansfield, Nottinghamshire",1 year,Alec Revell Plumbing & Heating,9.81,36
"Bordon, Hampshire",7 years,Alert Locksmiths,9.95,827
"Guildford, Surrey",1 year,Alessio Manganiello,9.5,11
London,3 years,Alex & Son Painting & Tiling,9.77,151
London,Less than a year,Alex Builders,9.75,6
"Southampton, Hampshire",Less than a year,Alex Building Construction Ltd,9.72,8
"Woking, Surrey",1 year,Alex Dobson Windows & Doors Ltd,9.95,112
"Southampton, Hampshire",4 years,Alex Faires Painting & Decorating,9.74,46
Edgware,1 year,Alex Interiors Ltd,9.28,17
"Worthing, West Sussex",Less than a year,Alex Maynard Landscape Gardener,8.97,10
"Polegate, East Sussex",1 year,Alex Morley Plastering,9.92,43
Sutton,Less than a year,Alex Scaffolding Ltd,9.86,9
"Camberley, Surrey",3 years,Alexander Cross,9.64,83
"Southampton, Hampshire",2 years,Alexander Fencing & Landscaping Services,9.46,43
"Croydon, Greater London",2 years,Alexander James Electrical Services,9.93,92
"Banbury, Oxfordshire",2 years,"Alexander John Garden Design & Maintenance, Banbury",9.59,35
"Johnstone, Renfrewshire",5 years,Alexander Macbeth.com,9.96,173
"Addlestone, Surrey",4 years,Alexander Plumbing & Drainage,9.92,90
"Aldershot, Surrey",2 years,Alexanders  Removals,9.98,41
"Stoke-on-Trent, Staffordshire",1 year,Alfa Contracts Tree Surgery,9.76,36
"Milton Keynes, Buckinghamshire",2 years,Alfa Plastering,9.87,59
London,1 year,Alfaclear Drains,9.72,16
"Portsmouth, Hampshire",6 years,Alfcon Plastering,9.99,97
"Southampton, Hampshire",2 years,Alfies Property Maintenance,9.99,25
"Southampton, Hampshire",7 years,Alford Plumbing & Heating Ltd,9.73,159
"Wembley, Middlesex",Less than a year,Alin Decor,9.75,5
"Peacehaven, East Sussex",Less than a year,Alina's Cleaning Service Ltd,9.78,27
"Romsey, Hampshire",2 years,Aliport Structures Ltd,9.8,75
"Coventry, West Midlands",2 years,All About Bathrooms,9.85,36
"Chigwell, Essex",Less than a year,All About Gates & Automation Ltd,9.83,38
"Sheffield, South Yorkshire",1 year,All About Joinery,9.29,11
"Dartford, Kent",Less than a year,All About Property Services,9.74,25
"Hayling Island, Hampshire",1 year,All About Windows,9.94,63
"Gillingham, Kent",1 year,All Access Locksmiths,10,21
"Gloucester, Gloucestershire",4 years,All Aerials & Satellites Ltd,9.95,267
"Hayling Island, Hampshire",6 years,All Areas Plumbing & Heating,9.93,357
"Guildford, Surrey",3 years,All Areas Roofing,9.49,57
"Cambridge, Cambridgeshire",1 year,All Areas Tree Care & Landscapes,9.79,36
"Reading, Berkshire",Less than a year,All Around UK Ltd,9.75,15
"Hockley, Essex",Less than a year,All Aspecs,9.85,10
"Paignton, Devon",1 year,All Aspect Electrical Services,9.96,23
"Portsmouth, Hampshire",Less than a year,All Aspect Roofing Contractors,9.86,62
"Guildford, Surrey",Less than a year,All Aspects,9.28,8
"Basingstoke, Hampshire",1 year,All Aspects Automotive,10,25
"Ringwood, Hampshire",Less than a year,All Aspects Carpentry & Construction,9.96,14
"Solihull, West Midlands",Less than a year,All Aspects Central Heating Showroom,9.58,31
"Eastleigh, Hampshire",3 years,All Aspects Fencing,9.81,235
Greenford,1 year,All Aspects Heating Services,9.78,55
Manchester,4 years,All Aspects Home Improvements,9.96,129
"Carshalton, Surrey",8 years,All Aspects Landscapes,9.91,114
Wallington,7 years,All Aspects Paving,9.66,164
"Fareham, Hampshire",4 years,All Aspects Plastering,9.99,35
"Lancing, West Sussex",5 years,All Aspects Roofing,9.92,77
"Dorking, Surrey",4 years,All Aspects Roofing,9.79,70
"St. Leonards-on-Sea, East Sussex",1 year,All Blinds,9.88,43
"South Croydon, Surrey",4 years,All Blinds And Shutters Ltd,9.99,711
"Oxford, Oxfordshire",4 years,All Brite Cleaning & Property Services,9.69,125
"Ferndown, Dorset",4 years,All Build Developments Limited,9.73,69
"Fareham, Hampshire",1 year,All Cars1 Ltd,9.66,11
"Banstead, Surrey",9 years,All Cistern's Go,9.85,103
"Epsom, Surrey",4 years,All Clean,9.85,69
"Wimborne, Dorset",1 year,All Clean,9.54,37
"Southampton, Hampshire",3 years,All Clean Ovens and Carpets,9.97,723
"Ferndown, Dorset",1 year,All Clean Waste Management,9.96,80
"Wimborne, Dorset",Less than a year,All Clear Pest Control,10,11
"Wallington, Surrey",4 years,All Comfort Solutions,9.7,50
"Sheerness, Kent",Less than a year,All Country Solutions,9.71,6
"Wokingham, Berkshire",6 years,All Digital TV,9.96,442
"London, Greater London",1 year,All District Garden Services,9.93,30
"Westbury, Wiltshire",4 years,All Drainage Services Ltd,9.93,283
"St. Albans, Hertfordshire",2 years,All Drives & Patios Ltd,9.5,8
"Sittingbourne, Kent",Less than a year,All Drives Projects,9.77,22
"Staines, Middlesex",6 years,All Driveways and Landscaping,9.87,137
"Sompting, West Sussex",8 years,All Driveways Ltd,9.6,90
"Cranleigh, Surrey",4 years,All Elements Roofing Limited,9.79,47
"Bournemouth, Dorset",2 years,All Fenced Up,9.91,71
"Waterlooville, Hampshire",7 years,All Fired Up,9.87,333
"Maidstone, Kent",4 years,All Fix Plumbing Ltd,9.3,143
"Feltham, Middlesex",1 year,All Furniture Bespoke,9.93,28
"West Wickham, Kent",4 years,All Gleaming Clean,9.94,378
"Sandy, Bedfordshire",1 year,All Green Landscapes Ltd,9.28,34
Feltham,1 year,All Green Tree Care,9.9,87
"Midhurst, West Sussex",Less than a year,All Groundwork Services,9.96,12
"Bognor Regis, West Sussex",2 years,All Heights Roofing Services Ltd,9.91,99
"Epsom, Surrey",7 years,All Hour Car Hire/AHC Services,9.91,553
Barnet,3 years,All Hours Pest Control,9.95,67
"Basingstoke, Hampshire",Less than a year,All In 1 Clearance and Removals,9.93,11
"Newcastle upon Tyne, Tyne and Wear",Less than a year,All Jobs,9.88,10
"Sidcup, Kent",3 years,All Kent Shutters & Blinds Ltd,9.96,235
"Belvedere, Greater London",2 years,All Kent Windows Ltd,9.91,271
London,3 years,All Kinds Of Blinds,9.81,148
"Tenterden, Kent",3 years,All Locked Out,9.9,219
"Brighton, East Sussex",Less than a year,All Loft Conversions Ltd,9.94,72
"Wimbledon , London",1 year,All London Property Services,9.89,40
"Frodsham, Cheshire",1 year,All Mighty Roofing and Joinery,9.93,36
"Bristol, Gloucestershire",1 year,All Out Roofing,9.93,32
"West Molesey, Surrey",1 year,All Plastering Solutions,9.92,36
"Holmfirth, West Yorkshire",2 years,All Plumbing,9.76,35
"Cannock, Staffordshire",Less than a year,All Plumbing,9.54,9
"Thatcham, Berkshire",3 years,All Plumbing Services Ltd,9.89,278
"Swindon, Oxfordshire",5 years,All Roofing,9.8,239
Chessington,3 years,All ROOFS - Roofing & Guttering Specialist,9.91,98
"Sidcup, Kent",Less than a year,All Round Building Ltd,9.81,8
"Bilston, West Midlands",Less than a year,All Round Cleaning Midlands Ltd,9.58,25
